Datetime,Symbol,Open,High,Low,Close,Volume,Market Cap
2018-01-05,BTC,15059.56000000,17176.24000000,14600.00000000,16960.39000000,23251.49112500,369321956.48683753
2018-01-06,BTC,16960.39000000,17143.13000000,16011.21000000,17069.79000000,18571.45750800,309216920.98641042
2018-01-07,BTC,17069.79000000,17099.96000000,15610.00000000,16150.03000000,12493.12555800,206194706.37068353
2018-01-08,BTC,16218.85000000,16322.30000000,12812.00000000,14902.54000000,26600.60991200,396569997.15746266
2018-01-09,BTC,14902.54000000,15500.00000000,14011.05000000,14400.00000000,14315.00425300,210630187.45766862
2018-01-10,BTC,14401.00000000,14955.66000000,13131.31000000,14907.09000000,17411.00165500,244011366.76302799
2018-01-11,BTC,14940.00000000,14968.68000000,11400.00000000,13238.78000000,33554.72375100,446587594.69373790
2018-01-12,BTC,13238.76000000,14109.78000000,12500.00000000,13740.01000000,16417.16213700,222516076.27145907
2018-01-13,BTC,13749.95000000,14580.00000000,13706.15000000,14210.00000000,12221.50852800,173086488.54788404
2018-01-14,BTC,14210.00000000,14339.50000000,12569.20000000,13474.99000000,17017.89432900,226525305.12938110
2018-01-15,BTC,13477.98000000,14249.99000000,13147.79000000,13539.93000000,14652.09470500,200614554.53834300
2018-01-16,BTC,13500.00000000,13542.93000000,9035.00000000,10900.00000000,63401.16917500,722150828.14940244
2018-01-17,BTC,10899.99000000,11680.99000000,9037.94000000,10988.79000000,72331.79664600,744154180.13120590
2018-01-18,BTC,10972.59000000,11878.82000000,10435.33000000,10961.97000000,48464.43493700,541289614.05840462
2018-01-19,BTC,10960.00000000,11795.00000000,10360.00000000,11474.98000000,34129.37542100,382773499.22657920
2018-01-20,BTC,11474.98000000,13099.00000000,11412.45000000,12799.94000000,28768.85782700,358561107.78097045
2018-01-21,BTC,12799.80000000,12799.80000000,10965.00000000,11530.00000000,41379.77342600,485289230.81889239
2018-01-22,BTC,11530.00000000,11926.35000000,9900.24000000,10760.05000000,43752.60679100,475716514.20869704
2018-01-23,BTC,10760.05000000,11399.00000000,9905.00000000,10799.18000000,37473.92255200,399419413.23298073
2018-01-24,BTC,10799.14000000,11570.48000000,10500.00000000,11349.99000000,27158.58776200,299470607.43020020
2018-01-25,BTC,11349.96000000,11794.05000000,10950.21000000,11175.27000000,20839.95418300,236081364.97365229
2018-01-26,BTC,11184.70000000,11643.00000000,10311.15000000,11089.00000000,33056.87196000,360482470.17375426
2018-01-27,BTC,11089.00000000,11650.00000000,10842.69000000,11491.00000000,18860.76834500,212663199.53348226
2018-01-28,BTC,11499.98000000,12244.00000000,11408.00000000,11879.95000000,16887.33952400,200211582.94345406
2018-01-29,BTC,11879.95000000,11975.02000000,11139.55000000,11251.00000000,14170.37753800,162110154.87880376
2018-01-30,BTC,11250.11000000,11308.42000000,9900.00000000,10237.51000000,25554.37294600,268978329.50861528
2018-01-31,BTC,10230.00000000,10425.85000000,9700.00000000,10285.10000000,18015.95680500,181644207.11316262
2018-02-01,BTC,10285.10000000,10335.00000000,8750.99000000,9224.52000000,33564.76431100,317636345.98437110
2018-02-02,BTC,9224.52000000,9250.00000000,8010.02000000,8873.03000000,49971.62697500,434236483.70448739
2018-02-03,BTC,8873.03000000,9473.01000000,8229.00000000,9199.96000000,28725.00073500,256834729.05991090
2018-02-04,BTC,9199.96000000,9368.00000000,7930.00000000,8184.81000000,32014.30844900,274912288.42132198
2018-02-05,BTC,8179.99000000,8382.80000000,6625.00000000,6939.99000000,63403.18257900,471166218.71344725
2018-02-06,BTC,6939.63000000,7878.00000000,6000.01000000,7652.14000000,100201.50030700,684364276.36666888
2018-02-07,BTC,7655.02000000,8476.00000000,7150.01000000,7599.00000000,60778.46049700,477935038.81177692
2018-02-08,BTC,7599.00000000,7844.00000000,7572.09000000,7784.02000000,1521.53731800,11770168.04386595
2018-02-09,BTC,7789.90000000,8738.00000000,7789.90000000,8683.92000000,20482.91082500,173348469.81187892
2018-02-10,BTC,8683.93000000,9065.78000000,8120.00000000,8533.98000000,49381.51265300,423411421.93098003
2018-02-11,BTC,8533.99000000,8549.00000000,7726.53000000,8063.88000000,45025.18795200,366966437.24988851
2018-02-12,BTC,8063.82000000,8989.00000000,8053.00000000,8903.00000000,41987.85049000,362440826.99437689
2018-02-13,BTC,8903.00000000,8950.00000000,8351.00000000,8539.90000000,35454.97295600,305165143.69692337
2018-02-14,BTC,8535.17000000,9489.60000000,8533.00000000,9449.99000000,40811.95286700,370126692.72823302
2018-02-15,BTC,9449.98000000,10219.50000000,9301.50000000,10000.09000000,52427.59671500,512388484.73178286
2018-02-16,BTC,10000.89000000,10323.37000000,9666.00000000,10159.98000000,38161.20597400,381103299.22388483
2018-02-17,BTC,10156.07000000,11075.07000000,10050.00000000,11039.55000000,41882.10840700,446012696.16926725
2018-02-18,BTC,11039.55000000,11274.00000000,10080.00000000,10383.43000000,61137.38072800,649423311.31002277
2018-02-19,BTC,10375.01000000,11250.00000000,10270.33000000,11153.00000000,40831.41713100,443766562.68306607
2018-02-20,BTC,11147.11000000,11786.01000000,11100.59000000,11200.99000000,48153.35428800,551573232.24295881
2018-02-21,BTC,11195.07000000,11304.03000000,10200.00000000,10437.60000000,68113.81875400,731537130.49218606
2018-02-22,BTC,10439.02000000,10933.44000000,9679.00000000,9811.04000000,67060.16648300,682006373.86958796
2018-02-23,BTC,9815.55000000,10435.00000000,9570.19000000,10131.04000000,57202.70237000,571800753.47097651
2018-02-24,BTC,10131.04000000,10496.97000000,9352.00000000,9694.51000000,40888.15629900,405618586.64803788
2018-02-25,BTC,9694.51000000,9847.00000000,9274.80000000,9590.00000000,28373.51758600,271286599.12608616
2018-02-26,BTC,9590.00000000,10444.32000000,9350.00000000,10324.00000000,34878.29275600,347559259.73845184
